Time	 Transit	Diff	WildType	Attached	RV	
0	28	2	30	0	0
0.6	31	4	31	0	4
1.2	30	6	30	0	6
1.8	30	6	30	0	6
2.4	31	6	31	0	6
3	32	6	32	0	6
3.6	34	6	34	0	6
4.2	34	8	34	0	8
4.8	33	12	33	0	12
5.4	34	12	34	0	12
6	34	14	34	0	14
6.6	35	14	35	0	14
7.2	36	16	36	0	16
7.8	36	18	36	0	18
8.4	36	18	36	0	18
9	34	24	34	0	24
9.6	33	26	33	0	26
10.2	31	30	31	0	30
10.8	32	30	32	0	30
11.4	33	30	33	0	30
12	36	30	36	0	30
12.6	36	32	36	0	32
13.2	35	36	35	0	36
13.8	33	40	33	0	40
14.4	33	40	33	0	40
15	35	42	35	0	42
15.6	35	42	35	0	42
16.2	36	42	36	0	42
16.8	35	44	35	0	44
17.4	36	44	36	0	44
18	35	48	35	0	48
18.6	36	48	36	0	48
19.2	37	52	37	0	52
19.8	35	56	35	0	56
20.4	34	57	34	0	57
21	34	57	34	0	57
21.6	34	57	34	0	57
22.2	35	56	35	0	56
22.8	34	60	34	0	60
23.4	35	60	35	0	60
24	35	62	35	0	62
24.6	35	62	35	0	62
25.2	37	62	37	0	62
25.8	37	62	37	0	62
26.4	40	62	40	0	62
27	40	64	40	0	64
27.6	40	66	40	0	66
28.2	41	66	41	0	66
28.8	42	66	42	0	66
29.4	42	65	42	0	65
30	41	66	41	0	66
30.6	41	68	41	0	68
31.2	40	70	40	0	70
31.8	40	72	40	0	72
32.4	39	73	39	0	73
33	38	77	38	0	77
33.6	37	79	37	0	79
34.2	37	78	37	0	78
34.8	36	80	36	0	80
35.4	35	82	35	0	82
36	35	84	35	0	84
36.6	34	86	34	0	86
37.2	30	94	30	0	94
37.8	30	94	30	0	94
38.4	31	93	31	0	93
39	32	93	32	0	93
39.6	33	93	33	0	93
40.2	33	94	33	0	94
40.8	33	94	33	0	94
41.4	34	93	34	0	93
42	34	94	34	0	94
42.6	34	94	34	0	94
43.2	33	98	33	0	98
43.8	32	99	32	0	99
44.4	30	102	30	0	102
45	29	103	29	0	103
45.6	30	105	30	0	105
46.2	28	108	28	0	108
46.8	27	110	27	0	110
47.4	27	109	27	0	109
48	27	110	27	0	110
48.6	26	111	26	0	111
49.2	26	109	26	0	109
49.8	25	111	25	0	111
50.4	24	113	24	0	113
51	25	113	25	0	113
51.6	24	115	24	0	115
52.2	27	114	27	0	114
52.8	27	114	27	0	114
53.4	25	117	25	0	117
54	25	117	25	0	117
54.6	25	117	25	0	117
55.2	24	119	24	0	119
55.8	23	120	23	0	120
56.4	23	119	23	0	119
57	23	119	23	0	119
57.6	23	119	23	0	119
58.2	21	123	21	0	123
58.8	21	122	21	0	122
59.4	21	124	21	0	124
60	21	126	21	0	126
60.6	21	126	21	0	126
61.2	19	130	19	0	130
61.8	19	130	19	0	130
62.4	19	128	19	0	128
63	20	127	20	0	127
63.6	21	127	21	0	127
64.2	21	128	21	0	128
64.8	22	127	22	0	127
65.4	20	130	20	0	130
66	20	130	20	0	130
66.6	20	129	20	0	129
67.2	19	130	19	0	130
67.8	18	131	18	0	131
68.4	17	133	19	0	131
69	17	132	17	0	132
69.6	17	133	17	0	133
70.2	17	133	17	0	133
70.8	17	132	17	0	132
71.4	16	134	16	0	134
72	16	134	16	0	134
72.6	16	133	16	0	133
73.2	16	133	16	0	133
73.8	17	133	17	0	133
74.4	18	133	18	0	133
75	19	132	19	0	132
75.6	19	132	19	0	132
