Time	 Transit	Diff	WildType	Attached	RV	
0	28	2	30	0	0
0.6	30	4	30	0	4
1.2	30	4	30	0	4
1.8	32	4	32	0	4
2.4	31	6	31	0	6
3	31	6	31	0	6
3.6	30	10	30	0	10
4.2	30	12	30	0	12
4.8	29	14	29	0	14
5.4	30	14	30	0	14
6	30	14	30	0	14
6.6	31	16	31	0	16
7.2	29	20	29	0	20
7.8	28	22	28	0	22
8.4	25	30	25	0	30
9	25	32	25	0	32
9.6	26	34	26	0	34
10.2	27	34	27	0	34
10.8	27	34	27	0	34
11.4	29	34	29	0	34
12	29	34	29	0	34
12.6	30	34	30	0	34
13.2	30	34	30	0	34
13.8	30	34	30	0	34
14.4	30	36	30	0	36
15	30	36	30	0	36
15.6	30	36	30	0	36
16.2	35	36	35	0	36
16.8	35	38	35	0	38
17.4	35	38	35	0	38
18	37	38	37	0	38
18.6	37	38	37	0	38
19.2	38	38	38	0	38
19.8	38	38	38	0	38
20.4	40	38	40	0	38
21	41	38	41	0	38
21.6	40	42	40	0	42
22.2	41	42	41	0	42
22.8	41	42	41	0	42
23.4	41	42	41	0	42
24	42	42	42	0	42
24.6	43	41	43	0	41
25.2	47	41	47	0	41
25.8	47	41	47	0	41
26.4	50	40	50	0	40
27	51	42	51	0	42
27.6	49	46	49	0	46
28.2	52	46	52	0	46
28.8	53	46	53	0	46
29.4	52	48	52	0	48
30	54	48	54	0	48
30.6	55	48	55	0	48
31.2	55	48	55	0	48
31.8	54	50	54	0	50
32.4	55	50	55	0	50
33	56	50	56	0	50
33.6	57	50	57	0	50
34.2	57	52	57	0	52
34.8	56	54	56	0	54
35.4	57	54	57	0	54
36	57	55	57	0	55
36.6	60	55	60	0	55
37.2	59	57	59	0	57
37.8	61	57	61	0	57
38.4	61	57	61	0	57
39	62	57	62	0	57
39.6	63	59	63	0	59
40.2	64	59	64	0	59
40.8	67	59	67	0	59
41.4	67	61	67	0	61
42	65	67	65	0	67
42.6	64	70	64	0	70
43.2	64	70	64	0	70
43.8	64	68	64	0	68
44.4	63	70	63	0	70
45	63	70	63	0	70
45.6	63	72	63	0	72
46.2	65	72	65	0	72
46.8	65	71	65	0	71
47.4	66	71	66	0	71
48	68	71	68	0	71
48.6	72	71	72	0	71
49.2	72	71	72	0	71
49.8	73	70	73	0	70
50.4	72	72	72	0	72
51	74	72	74	0	72
51.6	74	73	74	0	73
52.2	75	72	75	0	72
52.8	76	71	76	0	71
53.4	76	71	76	0	71
54	76	70	76	0	70
54.6	77	72	77	0	72
55.2	79	72	79	0	72
55.8	79	72	79	0	72
56.4	80	74	80	0	74
57	79	78	79	0	78
57.6	80	82	80	0	82
58.2	80	81	80	0	81
58.8	82	81	82	0	81
59.4	84	81	84	0	81
60	84	81	84	0	81
60.6	82	84	82	0	84
61.2	83	84	83	0	84
61.8	82	86	82	0	86
62.4	82	86	82	0	86
63	82	88	82	0	88
63.6	81	88	81	0	88
64.2	79	92	79	0	92
64.8	80	90	80	0	90
65.4	78	94	78	0	94
66	79	95	79	0	95
66.6	80	94	80	0	94
67.2	81	93	81	0	93
67.8	82	95	82	0	95
68.4	82	97	82	0	97
69	83	94	83	0	94
69.6	83	96	83	0	96
70.2	83	94	83	0	94
70.8	84	93	84	0	93
71.4	85	92	85	0	92
72	86	91	86	0	91
72.6	85	93	85	0	93
73.2	86	93	86	0	93
73.8	85	93	85	0	93
74.4	89	93	89	0	93
75	89	91	89	0	91
75.6	89	90	89	0	90
76.2	90	89	90	0	89
76.8	92	89	92	0	89
77.4	93	91	93	0	91
78	95	90	95	0	90
78.6	95	88	95	0	88
79.2	96	88	96	0	88
79.8	97	87	97	0	87
80.4	95	91	95	0	91
81	94	92	94	0	92
81.6	94	93	94	0	93
82.2	94	93	94	0	93
82.8	93	93	93	0	93
83.4	93	92	93	0	92
84	93	91	93	0	91
84.6	95	91	95	0	91
85.2	96	90	96	0	90
85.8	97	88	97	0	88
86.4	96	89	96	0	89
87	96	88	96	0	88
87.6	96	89	96	0	89
88.2	98	89	98	0	89
88.8	99	89	99	0	89
89.4	100	88	100	0	88
