Time	 Transit	Diff	WildType	Attached	RV	
0	30	0	30	0	0
0.6	31	0	31	0	0
1.2	33	0	33	0	0
1.8	34	0	34	0	0
2.4	35	0	35	0	0
3	34	2	34	0	2
3.6	33	4	33	0	4
4.2	34	6	34	0	6
4.8	36	6	36	0	6
5.4	36	6	36	0	6
6	35	8	35	0	8
6.6	37	8	37	0	8
7.2	36	10	36	0	10
7.8	38	10	38	0	10
8.4	37	12	37	0	12
9	34	18	34	0	18
9.6	34	22	34	0	22
10.2	33	24	33	0	24
10.8	33	26	33	0	26
11.4	34	30	34	0	30
12	34	32	34	0	32
12.6	33	34	33	0	34
13.2	33	36	33	0	36
13.8	34	36	34	0	36
14.4	35	36	35	0	36
15	36	38	36	0	38
15.6	35	40	35	0	40
16.2	35	40	35	0	40
16.8	35	40	35	0	40
17.4	36	40	36	0	40
18	37	40	37	0	40
18.6	37	42	37	0	42
19.2	38	44	38	0	44
19.8	38	46	38	0	46
20.4	38	46	38	0	46
21	36	50	36	0	50
21.6	35	52	35	0	52
22.2	33	58	33	0	58
22.8	31	62	31	0	62
23.4	33	62	33	0	62
24	33	62	33	0	62
24.6	32	66	32	0	66
25.2	33	66	33	0	66
25.8	31	74	31	0	74
26.4	32	76	32	0	76
27	32	75	32	0	75
27.6	31	77	31	0	77
28.2	32	77	32	0	77
28.8	30	80	30	0	80
29.4	31	79	31	0	79
30	32	79	32	0	79
30.6	32	79	32	0	79
31.2	31	81	31	0	81
31.8	29	84	29	0	84
32.4	30	84	30	0	84
33	29	86	29	0	86
33.6	29	86	29	0	86
34.2	30	88	30	0	88
34.8	31	88	31	0	88
35.4	32	90	32	0	90
36	32	92	32	0	92
36.6	33	92	33	0	92
37.2	33	94	33	0	94
37.8	32	96	32	0	96
38.4	33	95	33	0	95
39	34	94	34	0	94
39.6	33	96	33	0	96
40.2	31	100	31	0	100
40.8	32	100	32	0	100
41.4	32	100	32	0	100
42	32	99	32	0	99
42.6	33	98	33	0	98
43.2	32	99	32	0	99
43.8	32	100	32	0	100
44.4	31	99	31	0	99
45	30	101	30	0	101
45.6	31	100	31	0	100
46.2	32	98	32	0	98
46.8	31	100	31	0	100
47.4	31	100	31	0	100
48	34	99	34	0	99
48.6	35	99	35	0	99
49.2	35	101	35	0	101
49.8	35	102	35	0	102
50.4	33	108	33	0	108
51	34	108	34	0	108
51.6	33	109	33	0	109
52.2	32	111	32	0	111
52.8	31	113	31	0	113
53.4	30	114	30	0	114
54	32	113	32	0	113
54.6	32	113	32	0	113
55.2	31	114	31	0	114
55.8	31	112	31	0	112
56.4	31	111	31	0	111
57	30	112	30	0	112
57.6	30	109	30	0	109
58.2	29	111	29	0	111
58.8	28	115	28	0	115
59.4	29	115	29	0	115
60	29	115	29	0	115
60.6	30	115	30	0	115
61.2	31	115	31	0	115
61.8	32	115	32	0	115
62.4	32	114	32	0	114
63	31	117	31	0	117
63.6	30	119	30	0	119
64.2	27	124	27	0	124
64.8	26	128	26	0	128
65.4	26	128	26	0	128
66	26	127	26	0	127
66.6	27	127	27	0	127
67.2	27	126	27	0	126
67.8	26	128	26	0	128
68.4	27	127	27	0	127
69	27	129	27	0	129
69.6	27	128	27	0	128
70.2	26	129	26	0	129
70.8	25	131	25	0	131
71.4	24	132	24	0	132
72	24	132	24	0	132
72.6	23	132	23	0	132
73.2	23	131	23	0	131
73.8	23	133	23	0	133
74.4	22	135	22	0	135
75	22	134	22	0	134
75.6	23	133	23	0	133
76.2	23	132	23	0	132
76.8	26	132	26	0	132
77.4	25	134	25	0	134
78	23	138	23	0	138
78.6	24	138	24	0	138
79.2	24	140	24	0	140
79.8	25	140	25	0	140
80.4	25	140	25	0	140
81	26	140	26	0	140
81.6	27	140	27	0	140
82.2	27	139	27	0	139
82.8	27	139	27	0	139
83.4	27	139	27	0	139
84	27	139	27	0	139
84.6	26	141	26	0	141
85.2	26	141	26	0	141
85.8	26	140	26	0	140
86.4	26	140	26	0	140
87	26	140	26	0	140
87.6	25	141	25	0	141
88.2	26	141	26	0	141
88.8	27	139	27	0	139
89.4	27	138	27	0	138
90	27	137	27	0	137
90.6	26	138	26	0	138
91.2	28	138	28	0	138
91.8	27	139	27	0	139
92.4	28	139	28	0	139
93	28	138	28	0	138
93.6	28	137	28	0	137
94.2	26	140	26	0	140
94.8	26	140	26	0	140
95.4	27	140	27	0	140
96	28	140	28	0	140
96.6	28	139	28	0	139
97.2	29	139	29	0	139
97.8	28	139	28	0	139
98.4	29	138	29	0	138
99	29	140	29	0	140
99.6	27	144	27	0	144
100.2	27	143	27	0	143
100.8	29	142	29	0	142
101.4	29	142	29	0	142
102	28	144	28	0	144
102.6	29	141	29	0	141
103.2	29	140	29	0	140
103.8	29	139	29	0	139
104.4	29	140	29	0	140
105	29	140	29	0	140
105.6	28	142	28	0	142
106.2	27	144	27	0	144
106.8	27	144	27	0	144
107.4	26	146	26	0	146
108	28	148	28	0	148
108.6	28	147	28	0	147
109.2	28	147	28	0	147
109.8	28	146	28	0	146
110.4	28	147	28	0	147
111	29	146	29	0	146
111.6	31	146	31	0	146
112.2	31	145	31	0	145
112.8	31	145	31	0	145
113.4	30	147	30	0	147
114	31	147	31	0	147
114.6	30	149	30	0	149
115.2	31	148	31	0	148
115.8	31	148	31	0	148
116.4	31	148	31	0	148
117	28	154	28	0	154
117.6	28	153	28	0	153
118.2	28	152	28	0	152
118.8	29	152	29	0	152
119.4	30	151	30	0	151
120	30	151	30	0	151
120.6	30	150	30	0	150
121.2	30	149	30	0	149
121.8	30	148	30	0	148
122.4	30	147	30	0	147
123	30	146	30	0	146
123.6	30	145	30	0	145
124.2	30	144	30	0	144
124.8	30	144	30	0	144
125.4	31	144	31	0	144
126	29	147	29	0	147
126.6	30	147	30	0	147
127.2	31	147	31	0	147
127.8	31	148	31	0	148
128.4	30	150	30	0	150
129	30	150	30	0	150
129.6	31	152	31	0	152
130.2	31	154	31	0	154
130.8	30	156	30	0	156
131.4	29	159	29	0	159
132	30	157	30	0	157
132.6	29	159	29	0	159
133.2	29	157	29	0	157
133.8	30	157	30	0	157
134.4	30	157	30	0	157
135	30	157	30	0	157
135.6	29	159	29	0	159
136.2	29	159	29	0	159
136.8	29	160	29	0	160
137.4	30	160	30	0	160
138	31	158	31	0	158
138.6	30	160	30	0	160
139.2	30	160	30	0	160
139.8	29	160	29	0	160
140.4	29	159	29	0	159
141	28	161	28	0	161
141.6	28	159	28	0	159
142.2	27	161	27	0	161
142.8	27	159	27	0	159
143.4	27	160	27	0	160
144	27	158	27	0	158
144.6	25	162	25	0	162
145.2	25	161	25	0	161
145.8	25	160	25	0	160
146.4	24	161	24	0	161
147	24	160	24	0	160
147.6	25	159	25	0	159
148.2	23	163	23	0	163
148.8	23	162	23	0	162
149.4	23	161	23	0	161
150	22	161	22	0	161
150.6	22	161	22	0	161
151.2	22	163	22	0	163
151.8	22	162	22	0	162
152.4	23	161	23	0	161
153	23	161	23	0	161
153.6	24	161	24	0	161
154.2	24	160	24	0	160
154.8	24	160	24	0	160
155.4	23	160	23	0	160
156	24	159	24	0	159
156.6	24	158	24	0	158
157.2	24	157	24	0	157
157.8	23	158	23	0	158
158.4	23	158	23	0	158
159	24	155	24	0	155
159.6	23	154	23	0	154
160.2	21	158	21	0	158
160.8	21	159	21	0	159
161.4	21	159	21	0	159
162	21	159	21	0	159
162.6	21	159	21	0	159
163.2	21	158	21	0	158
163.8	20	160	20	0	160
164.4	20	160	20	0	160
165	20	160	20	0	160
165.6	20	159	20	0	159
166.2	19	160	19	0	160
166.8	18	161	18	0	161
167.4	17	163	17	0	163
168	17	162	17	0	162
168.6	17	162	17	0	162
169.2	18	162	18	0	162
169.8	19	160	19	0	160
170.4	19	159	19	0	159
171	20	157	20	0	157
171.6	19	159	19	0	159
172.2	18	160	18	0	160
172.8	18	158	18	0	158
173.4	18	156	18	0	156
174	18	156	18	0	156
174.6	18	156	18	0	156
175.2	18	155	18	0	155
175.8	18	152	18	0	152
176.4	18	154	18	0	154
177	17	155	17	0	155
177.6	18	155	18	0	155
178.2	18	156	18	0	156
178.8	18	157	18	0	157
179.4	19	155	19	0	155
180	20	153	20	0	153
180.6	20	153	20	0	153
181.2	20	151	20	0	151
181.8	20	150	20	0	150
182.4	20	151	20	0	151
183	20	150	20	0	150
183.6	20	150	20	0	150
184.2	21	147	21	0	147
184.8	21	147	21	0	147
185.4	21	147	21	0	147
186	22	146	22	0	146
186.6	22	145	22	0	145
187.2	22	146	22	0	146
187.8	22	145	22	0	145
188.4	21	145	21	0	145
189	22	145	22	0	145
189.6	22	144	22	0	144
190.2	22	144	22	0	144
190.8	22	143	22	0	143
191.4	21	145	21	0	145
192	20	147	20	0	147
192.6	19	148	19	0	148
193.2	19	147	19	0	147
193.8	18	149	18	0	149
194.4	19	149	19	0	149
195	20	147	20	0	147
195.6	20	149	20	0	149
196.2	21	150	21	0	150
196.8	21	152	21	0	152
197.4	20	154	20	0	154
198	21	153	21	0	153
198.6	21	153	21	0	153
199.2	21	153	21	0	153
199.8	22	152	22	0	152
200.4	22	151	22	0	151
201	22	153	22	0	153
201.6	22	150	22	0	150
202.2	23	150	23	0	150
202.8	23	150	23	0	150
203.4	23	150	23	0	150
204	23	149	23	0	149
204.6	23	149	23	0	149
205.2	23	149	23	0	149
205.8	23	148	23	0	148
206.4	23	148	23	0	148
207	23	148	23	0	148
207.6	23	148	23	0	148
208.2	22	150	22	0	150
208.8	22	150	22	0	150
209.4	22	149	22	0	149
210	23	149	23	0	149
210.6	24	149	24	0	149
211.2	23	150	23	0	150
211.8	23	150	23	0	150
212.4	23	148	23	0	148
213	23	148	23	0	148
213.6	23	147	23	0	147
214.2	23	146	23	0	146
214.8	23	145	23	0	145
215.4	22	145	22	0	145
216	21	145	21	0	145
216.6	20	146	20	0	146
217.2	20	146	20	0	146
217.8	20	146	20	0	146
218.4	21	146	21	0	146
219	23	144	23	0	144
219.6	23	143	23	0	143
220.2	24	141	24	0	141
220.8	23	143	23	0	143
221.4	25	143	25	0	143
222	25	142	25	0	142
222.6	26	142	26	0	142
223.2	25	143	25	0	143
223.8	25	143	25	0	143
224.4	24	145	24	0	145
225	24	145	24	0	145
225.6	24	145	24	0	145
226.2	24	145	24	0	145
226.8	22	148	22	0	148
227.4	22	148	22	0	148
228	21	150	21	0	150
228.6	22	150	22	0	150
229.2	22	150	22	0	150
229.8	22	150	22	0	150
230.4	22	150	22	0	150
231	20	154	20	0	154
231.6	20	154	20	0	154
232.2	20	154	20	0	154
232.8	18	158	18	0	158
233.4	19	157	19	0	157
234	18	158	18	0	158
234.6	18	158	18	0	158
235.2	18	159	18	0	159
235.8	19	159	19	0	159
236.4	19	159	19	0	159
237	19	159	19	0	159
237.6	19	160	19	0	160
238.2	18	162	18	0	162
238.8	19	161	19	0	161
239.4	19	160	19	0	160
240	19	160	19	0	160
240.6	19	160	19	0	160
241.2	20	160	20	0	160
241.8	20	160	20	0	160
242.4	19	162	19	0	162
243	19	162	19	0	162
243.6	19	162	19	0	162
244.2	19	162	19	0	162
244.8	20	162	20	0	162
245.4	20	162	20	0	162
246	19	164	19	0	164
246.6	19	164	19	0	164
247.2	18	166	18	0	166
247.8	18	166	18	0	166
248.4	19	165	19	0	165
249	19	167	19	0	167
249.6	20	167	20	0	167
250.2	20	165	20	0	165
250.8	20	165	20	0	165
251.4	20	165	20	0	165
252	20	164	20	0	164
252.6	21	162	21	0	162
253.2	21	162	21	0	162
253.8	21	161	21	0	161
254.4	21	160	21	0	160
255	22	160	22	0	160
255.6	24	159	24	0	159
256.2	24	159	24	0	159
256.8	24	158	24	0	158
257.4	24	158	24	0	158
258	23	160	23	0	160
258.6	23	159	23	0	159
259.2	23	159	23	0	159
259.8	23	158	23	0	158
260.4	23	157	23	0	157
261	23	157	23	0	157
261.6	23	157	23	0	157
262.2	25	156	25	0	156
262.8	25	156	25	0	156
263.4	24	157	24	0	157
264	25	157	25	0	157
264.6	25	157	25	0	157
265.2	25	161	25	0	161
265.8	25	161	25	0	161
266.4	25	161	25	0	161
267	25	160	25	0	160
267.6	26	160	26	0	160
268.2	26	160	26	0	160
268.8	26	159	26	0	159
269.4	26	159	26	0	159
270	25	161	25	0	161
270.6	26	161	26	0	161
271.2	25	162	25	0	162
271.8	28	162	28	0	162
272.4	26	165	26	0	165
273	26	164	26	0	164
273.6	25	165	25	0	165
274.2	25	164	25	0	164
274.8	26	164	26	0	164
275.4	27	164	27	0	164
276	28	164	28	0	164
276.6	28	164	28	0	164
277.2	28	164	28	0	164
277.8	28	164	28	0	164
278.4	28	164	28	0	164
279	28	164	28	0	164
279.6	28	163	28	0	163
280.2	29	163	29	0	163
280.8	29	163	29	0	163
281.4	28	165	28	0	165
282	28	164	28	0	164
282.6	28	164	28	0	164
283.2	29	166	29	0	166
283.8	27	170	27	0	170
284.4	28	170	28	0	170
285	28	170	28	0	170
285.6	28	170	28	0	170
286.2	29	170	29	0	170
286.8	29	169	29	0	169
287.4	29	169	29	0	169
288	30	169	30	0	169
288.6	31	169	31	0	169
289.2	32	168	32	0	168
289.8	31	170	31	0	170
290.4	30	172	30	0	172
291	30	172	30	0	172
291.6	30	172	30	0	172
292.2	30	171	30	0	171
292.8	30	170	30	0	170
293.4	30	170	30	0	170
294	32	170	32	0	170
294.6	32	171	32	0	171
295.2	32	171	32	0	171
