Time	 Transit	Diff	WildType	Attached	RV	
0	29	1	30	0	0
0.6	29	2	29	0	2
1.2	31	2	31	0	2
1.8	32	4	32	0	4
2.4	33	4	33	0	4
3	32	6	32	0	6
3.6	33	8	33	0	8
4.2	33	8	33	0	8
4.8	33	8	33	0	8
5.4	32	10	32	0	10
6	33	12	33	0	12
6.6	31	16	31	0	16
7.2	30	18	30	0	18
7.8	32	18	32	0	18
8.4	33	20	33	0	20
9	34	20	34	0	20
9.6	31	26	31	0	26
10.2	30	30	30	0	30
10.8	29	32	29	0	32
11.4	28	34	28	0	34
12	28	34	28	0	34
12.6	28	36	28	0	36
13.2	29	38	29	0	38
13.8	28	42	28	0	42
14.4	26	46	26	0	46
15	26	46	26	0	46
15.6	26	46	26	0	46
16.2	26	48	26	0	48
16.8	26	48	26	0	48
17.4	27	48	27	0	48
18	33	48	33	0	48
18.6	34	48	34	0	48
19.2	34	48	34	0	48
19.8	32	52	32	0	52
20.4	33	52	33	0	52
21	33	52	33	0	52
21.6	32	54	32	0	54
22.2	33	54	33	0	54
22.8	34	54	34	0	54
23.4	36	54	36	0	54
24	37	54	37	0	54
24.6	39	54	39	0	54
25.2	40	54	40	0	54
25.8	40	54	40	0	54
26.4	39	56	39	0	56
27	39	58	39	0	58
27.6	38	62	38	0	62
28.2	38	62	38	0	62
28.8	36	66	36	0	66
29.4	36	66	36	0	66
30	36	68	36	0	68
30.6	35	70	35	0	70
31.2	35	74	35	0	74
31.8	36	74	36	0	74
32.4	36	74	36	0	74
33	37	74	37	0	74
33.6	36	76	36	0	76
34.2	37	76	37	0	76
34.8	37	76	37	0	76
35.4	36	81	36	0	81
36	37	81	37	0	81
36.6	35	89	35	0	89
37.2	35	90	35	0	90
37.8	35	89	35	0	89
38.4	34	91	34	0	91
39	35	90	35	0	90
39.6	35	91	35	0	91
40.2	35	91	35	0	91
40.8	33	94	33	0	94
41.4	33	93	33	0	93
42	32	95	32	0	95
42.6	32	94	32	0	94
43.2	32	92	32	0	92
43.8	30	95	30	0	95
44.4	32	95	32	0	95
45	32	94	32	0	94
45.6	31	98	31	0	98
46.2	34	98	34	0	98
46.8	32	102	32	0	102
47.4	33	105	33	0	105
48	34	104	34	0	104
48.6	34	103	34	0	103
49.2	34	103	34	0	103
49.8	34	102	34	0	102
50.4	35	101	35	0	101
51	36	101	36	0	101
51.6	35	103	35	0	103
52.2	34	106	34	0	106
52.8	35	106	35	0	106
53.4	34	108	34	0	108
54	35	108	35	0	108
54.6	35	108	35	0	108
55.2	36	107	36	0	107
55.8	35	109	35	0	109
56.4	35	109	35	0	109
57	36	109	36	0	109
57.6	38	109	38	0	109
58.2	37	110	37	0	110
58.8	37	109	37	0	109
59.4	36	110	36	0	110
60	36	110	36	0	110
60.6	36	112	36	0	112
61.2	37	112	37	0	112
61.8	38	114	38	0	114
62.4	38	114	38	0	114
63	39	114	39	0	114
63.6	39	114	39	0	114
64.2	39	116	39	0	116
64.8	39	116	39	0	116
65.4	38	117	38	0	117
66	39	117	39	0	117
66.6	40	117	40	0	117
67.2	40	117	40	0	117
67.8	42	119	42	0	119
68.4	42	119	42	0	119
69	43	119	43	0	119
69.6	42	120	42	0	120
70.2	43	120	43	0	120
70.8	43	119	43	0	119
71.4	41	123	41	0	123
72	42	125	42	0	125
72.6	42	125	42	0	125
73.2	42	123	42	0	123
73.8	40	127	40	0	127
74.4	41	127	41	0	127
75	40	128	40	0	128
75.6	42	128	42	0	128
76.2	42	128	42	0	128
76.8	43	130	43	0	130
77.4	44	130	44	0	130
78	44	132	44	0	132
