Time	 Transit	Diff	WildType	Attached	RV	
0	30	0	30	0	0
0.6	33	0	33	0	0
1.2	32	2	32	0	2
1.8	32	2	32	0	2
2.4	32	4	32	0	4
3	31	8	31	0	8
3.6	30	10	30	0	10
4.2	31	10	31	0	10
4.8	32	10	32	0	10
5.4	30	14	30	0	14
6	31	16	31	0	16
6.6	31	20	31	0	20
7.2	31	22	31	0	22
7.8	30	24	30	0	24
8.4	31	24	31	0	24
9	32	24	32	0	24
9.6	32	24	32	0	24
10.2	33	26	33	0	26
10.8	34	28	34	0	28
11.4	34	28	34	0	28
12	35	28	35	0	28
12.6	35	28	35	0	28
13.2	34	32	34	0	32
13.8	33	34	33	0	34
14.4	31	38	31	0	38
15	33	38	33	0	38
15.6	33	38	33	0	38
16.2	32	40	34	0	38
16.8	31	42	31	0	42
17.4	29	46	29	0	46
18	29	46	29	0	46
18.6	28	50	28	0	50
19.2	30	52	30	0	52
19.8	31	52	31	0	52
20.4	31	54	31	0	54
21	32	54	32	0	54
21.6	31	56	31	0	56
22.2	31	58	31	0	58
22.8	34	58	34	0	58
23.4	35	58	35	0	58
24	35	58	35	0	58
24.6	35	58	35	0	58
25.2	36	58	36	0	58
25.8	35	60	35	0	60
26.4	34	62	34	0	62
27	34	62	34	0	62
27.6	34	62	34	0	62
28.2	34	62	34	0	62
28.8	33	66	33	0	66
29.4	32	68	32	0	68
30	33	68	33	0	68
30.6	34	68	34	0	68
31.2	35	70	35	0	70
31.8	33	74	33	0	74
32.4	34	75	34	0	75
33	35	75	35	0	75
33.6	34	77	34	0	77
34.2	35	77	35	0	77
34.8	36	77	36	0	77
35.4	36	76	36	0	76
36	37	76	37	0	76
36.6	36	78	36	0	78
37.2	35	80	35	0	80
37.8	37	80	37	0	80
38.4	37	79	37	0	79
39	37	78	37	0	78
39.6	37	78	37	0	78
40.2	37	79	37	0	79
40.8	38	79	38	0	79
41.4	38	81	38	0	81
42	38	83	38	0	83
42.6	38	87	38	0	87
43.2	38	86	38	0	86
43.8	38	85	38	0	85
44.4	37	87	37	0	87
45	36	88	36	0	88
45.6	37	90	37	0	90
46.2	36	94	36	0	94
46.8	33	99	33	0	99
47.4	33	101	33	0	101
48	33	99	33	0	99
48.6	32	100	32	0	100
49.2	32	100	32	0	100
49.8	31	101	31	0	101
50.4	29	105	29	0	105
51	28	105	28	0	105
51.6	27	107	27	0	107
52.2	29	106	29	0	106
52.8	30	105	30	0	105
53.4	29	109	29	0	109
54	29	108	29	0	108
54.6	29	108	29	0	108
55.2	29	110	29	0	110
55.8	30	110	30	0	110
56.4	30	109	30	0	109
57	30	109	30	0	109
57.6	30	109	30	0	109
58.2	30	111	30	0	111
58.8	29	112	29	0	112
59.4	29	112	29	0	112
60	29	112	29	0	112
60.6	29	114	29	0	114
61.2	29	114	29	0	114
61.8	28	116	28	0	116
62.4	28	115	28	0	115
63	28	117	28	0	117
63.6	28	116	28	0	116
64.2	30	116	30	0	116
64.8	31	116	31	0	116
65.4	31	118	31	0	118
66	31	117	31	0	117
66.6	32	117	32	0	117
67.2	31	118	31	0	118
67.8	31	118	31	0	118
68.4	30	119	30	0	119
69	31	118	31	0	118
69.6	31	118	31	0	118
70.2	32	117	32	0	117
70.8	30	122	32	0	120
71.4	30	122	30	0	122
72	31	121	31	0	121
72.6	30	122	30	0	122
73.2	30	122	30	0	122
73.8	30	121	30	0	121
74.4	30	120	30	0	120
75	31	118	31	0	118
75.6	31	117	31	0	117
76.2	31	117	31	0	117
76.8	31	118	31	0	118
77.4	34	117	34	0	117
