Time	 Transit	Diff	WildType	Attached	RV	
0	28	2	30	0	0
0.6	29	4	29	0	4
1.2	29	4	29	0	4
1.8	29	6	29	0	6
2.4	29	10	29	0	10
3	30	10	30	0	10
3.6	29	12	31	0	10
4.2	30	12	30	0	12
4.8	30	14	30	0	14
5.4	31	14	31	0	14
6	31	14	31	0	14
6.6	30	16	30	0	16
7.2	29	18	29	0	18
7.8	26	24	26	0	24
8.4	28	24	28	0	24
9	29	24	29	0	24
9.6	29	26	29	0	26
10.2	27	30	27	0	30
10.8	29	30	29	0	30
11.4	30	30	30	0	30
12	32	30	32	0	30
12.6	32	30	32	0	30
13.2	33	30	33	0	30
13.8	36	30	36	0	30
14.4	35	34	35	0	34
15	35	34	35	0	34
15.6	37	34	37	0	34
16.2	38	34	38	0	34
16.8	39	34	39	0	34
17.4	39	34	39	0	34
18	39	34	39	0	34
18.6	40	34	40	0	34
19.2	44	34	44	0	34
19.8	43	36	43	0	36
20.4	44	38	46	0	36
21	44	38	44	0	38
21.6	45	38	45	0	38
22.2	46	38	46	0	38
22.8	46	38	46	0	38
23.4	49	38	49	0	38
24	49	38	49	0	38
24.6	51	40	51	0	40
25.2	50	41	50	0	41
25.8	51	41	51	0	41
26.4	51	41	51	0	41
27	50	42	50	0	42
27.6	52	42	52	0	42
28.2	54	42	54	0	42
28.8	54	44	54	0	44
29.4	54	44	54	0	44
30	54	44	54	0	44
30.6	54	46	54	0	46
31.2	54	46	54	0	46
31.8	56	46	56	0	46
32.4	58	46	58	0	46
33	58	46	58	0	46
33.6	61	46	61	0	46
34.2	61	48	61	0	48
34.8	60	50	60	0	50
35.4	60	50	60	0	50
36	61	52	61	0	52
36.6	60	56	60	0	56
37.2	60	58	60	0	58
37.8	60	58	60	0	58
38.4	61	58	61	0	58
39	62	60	62	0	60
39.6	65	59	65	0	59
40.2	67	59	67	0	59
40.8	67	58	67	0	58
41.4	69	58	69	0	58
42	70	60	70	0	60
42.6	71	59	71	0	59
43.2	71	59	71	0	59
43.8	72	59	72	0	59
44.4	71	61	71	0	61
45	74	61	74	0	61
45.6	77	61	77	0	61
46.2	76	64	76	0	64
46.8	77	63	77	0	63
47.4	76	67	76	0	67
48	76	66	76	0	66
48.6	77	66	77	0	66
49.2	78	66	78	0	66
49.8	79	68	79	0	68
50.4	79	68	79	0	68
51	83	68	83	0	68
51.6	83	68	83	0	68
52.2	84	67	84	0	67
52.8	84	67	84	0	67
53.4	84	68	84	0	68
54	84	69	84	0	69
54.6	83	72	83	0	72
55.2	83	73	83	0	73
55.8	83	73	83	0	73
56.4	83	75	83	0	75
57	82	79	82	0	79
57.6	83	78	83	0	78
58.2	82	82	82	0	82
58.8	85	81	85	0	81
59.4	86	79	86	0	79
60	84	85	84	0	85
60.6	84	85	84	0	85
61.2	86	84	86	0	84
61.8	85	85	85	0	85
62.4	86	87	86	0	87
63	86	88	86	0	88
63.6	87	87	87	0	87
64.2	88	88	88	0	88
64.8	87	90	87	0	90
65.4	87	89	87	0	89
66	86	90	86	0	90
66.6	87	92	87	0	92
67.2	87	89	87	0	89
67.8	85	94	85	0	94
68.4	85	96	85	0	96
69	89	96	89	0	96
69.6	89	96	89	0	96
70.2	90	96	90	0	96
70.8	90	95	90	0	95
71.4	91	94	91	0	94
72	92	94	92	0	94
72.6	93	93	93	0	93
73.2	94	92	94	0	92
73.8	95	91	95	0	91
74.4	96	91	96	0	91
75	95	91	95	0	91
75.6	94	92	94	0	92
76.2	92	96	94	0	94
76.8	93	94	93	0	94
77.4	94	97	94	0	97
78	95	95	95	0	95
78.6	96	94	96	0	94
79.2	96	94	96	0	94
79.8	95	95	95	0	95
80.4	94	96	94	0	96
81	95	96	95	0	96
81.6	96	96	96	0	96
82.2	99	94	99	0	94
82.8	97	97	97	0	97
83.4	97	100	97	0	100
84	97	99	97	0	99
84.6	97	98	97	0	98
85.2	98	96	98	0	96
85.8	99	97	99	0	97
86.4	98	98	98	0	98
87	98	96	98	0	96
87.6	96	100	96	0	100
88.2	100	98	100	0	98
88.8	99	99	99	0	99
89.4	98	101	98	0	101
90	99	101	99	0	101
90.6	99	99	99	0	99
91.2	99	98	99	0	98
91.8	98	99	98	0	99
92.4	99	100	99	0	100
93	102	98	102	0	98
93.6	104	98	104	0	98
94.2	102	100	102	0	100
94.8	101	101	101	0	101
95.4	104	101	104	0	101
96	105	102	105	0	102
96.6	108	101	108	0	101
97.2	108	99	108	0	99
97.8	107	98	107	0	98
98.4	107	97	107	0	97
99	106	98	106	0	98
99.6	107	101	107	0	101
100.2	107	100	107	0	100
100.8	107	99	107	0	99
101.4	108	100	108	0	100
102	108	100	108	0	100
102.6	109	100	109	0	100
103.2	108	102	108	0	102
103.8	107	105	107	0	105
104.4	105	107	105	0	107
105	106	107	106	0	107
105.6	108	105	108	0	105
