Time	 Transit	Diff	WildType	Attached	RV	
0	30	0	30	0	0
0.6	32	0	32	0	0
1.2	33	0	33	0	0
1.8	33	0	33	0	0
2.4	32	4	32	0	4
3	32	4	32	0	4
3.6	32	6	32	0	6
4.2	34	6	34	0	6
4.8	36	6	36	0	6
5.4	36	8	36	0	8
6	36	10	36	0	10
6.6	35	12	35	0	12
7.2	35	12	35	0	12
7.8	38	12	38	0	12
8.4	38	16	38	0	16
9	36	20	36	0	20
9.6	36	20	36	0	20
10.2	36	22	36	0	22
10.8	37	22	37	0	22
11.4	35	26	35	0	26
12	36	28	36	0	28
12.6	37	28	37	0	28
13.2	35	34	35	0	34
13.8	34	36	34	0	36
14.4	35	36	35	0	36
15	36	36	36	0	36
15.6	32	44	32	0	44
16.2	32	44	32	0	44
16.8	32	46	32	0	46
17.4	34	46	34	0	46
18	35	50	35	0	50
18.6	35	50	35	0	50
19.2	35	52	35	0	52
19.8	35	52	35	0	52
20.4	36	52	36	0	52
21	36	54	36	0	54
21.6	37	56	37	0	56
22.2	38	56	38	0	56
22.8	39	56	39	0	56
23.4	40	55	40	0	55
24	40	57	40	0	57
24.6	42	57	42	0	57
25.2	43	57	43	0	57
25.8	43	57	43	0	57
26.4	43	57	43	0	57
27	45	57	45	0	57
27.6	45	59	45	0	59
28.2	47	59	47	0	59
28.8	47	61	47	0	61
29.4	46	63	46	0	63
30	44	67	44	0	67
30.6	44	69	44	0	69
31.2	44	71	44	0	71
31.8	43	73	43	0	73
32.4	46	73	46	0	73
33	46	73	46	0	73
33.6	46	75	46	0	75
34.2	46	75	46	0	75
34.8	46	74	46	0	74
35.4	48	74	48	0	74
36	47	76	47	0	76
36.6	49	79	49	0	79
37.2	50	78	50	0	78
37.8	51	77	51	0	77
38.4	49	80	49	0	80
39	47	83	47	0	83
39.6	50	83	50	0	83
40.2	49	84	49	0	84
40.8	48	85	48	0	85
41.4	47	86	47	0	86
42	48	86	48	0	86
42.6	46	88	46	0	88
43.2	42	96	42	0	96
43.8	38	104	38	0	104
44.4	39	103	39	0	103
45	40	102	40	0	102
45.6	38	105	38	0	105
46.2	37	106	37	0	106
46.8	38	108	38	0	108
47.4	37	110	37	0	110
48	38	110	38	0	110
48.6	38	110	38	0	110
49.2	38	109	38	0	109
49.8	38	108	38	0	108
50.4	37	110	37	0	110
51	36	111	36	0	111
51.6	37	111	37	0	111
52.2	34	116	34	0	116
52.8	33	117	33	0	117
53.4	33	116	33	0	116
54	33	117	33	0	117
54.6	33	117	33	0	117
55.2	31	121	33	0	119
55.8	30	122	30	0	122
56.4	30	121	30	0	121
57	31	123	31	0	123
57.6	31	123	31	0	123
58.2	32	121	32	0	121
58.8	33	120	33	0	120
59.4	31	123	33	0	121
60	31	123	31	0	123
60.6	31	123	31	0	123
61.2	32	123	32	0	123
61.8	32	123	32	0	123
62.4	31	125	31	0	125
63	30	126	30	0	126
63.6	31	126	31	0	126
64.2	31	126	31	0	126
64.8	31	125	31	0	125
65.4	32	123	32	0	123
66	31	125	31	0	125
66.6	31	127	31	0	127
67.2	30	129	30	0	129
67.8	29	131	29	0	131
68.4	29	133	29	0	133
69	28	134	28	0	134
69.6	27	136	27	0	136
70.2	26	138	26	0	138
70.8	25	138	25	0	138
71.4	25	137	25	0	137
72	25	135	25	0	135
72.6	26	135	26	0	135
73.2	26	134	26	0	134
73.8	26	133	26	0	133
74.4	25	135	25	0	135
75	26	134	26	0	134
75.6	27	134	27	0	134
76.2	28	134	28	0	134
76.8	27	134	27	0	134
77.4	27	134	27	0	134
78	27	133	27	0	133
78.6	28	133	28	0	133
79.2	28	132	28	0	132
79.8	29	131	29	0	131
80.4	29	131	29	0	131
81	29	131	29	0	131
81.6	28	133	28	0	133
82.2	27	133	27	0	133
82.8	27	131	27	0	131
83.4	26	133	26	0	133
84	25	134	25	0	134
84.6	25	133	25	0	133
85.2	25	132	25	0	132
85.8	25	132	25	0	132
86.4	24	133	24	0	133
87	22	138	22	0	138
87.6	23	137	23	0	137
88.2	22	138	22	0	138
88.8	23	138	23	0	138
89.4	24	136	24	0	136
90	23	136	23	0	136
90.6	24	135	24	0	135
91.2	24	134	24	0	134
91.8	23	134	23	0	134
92.4	24	133	24	0	133
93	24	133	24	0	133
93.6	24	135	24	0	135
94.2	23	137	23	0	137
94.8	22	138	22	0	138
95.4	23	137	23	0	137
96	23	136	23	0	136
96.6	23	137	23	0	137
97.2	22	138	22	0	138
97.8	23	138	23	0	138
98.4	23	137	23	0	137
99	23	135	23	0	135
99.6	23	137	23	0	137
100.2	24	134	24	0	134
100.8	25	133	25	0	133
101.4	25	132	25	0	132
102	25	132	25	0	132
102.6	26	134	26	0	134
103.2	26	133	26	0	133
103.8	26	132	26	0	132
104.4	27	132	27	0	132
105	28	131	28	0	131
