Time	 Transit	Diff	WildType	Attached	RV	
0	28	2	30	0	0
0.6	26	8	26	0	8
1.2	25	10	25	0	10
1.8	23	14	23	0	14
2.4	24	14	24	0	14
3	24	14	24	0	14
3.6	21	20	21	0	20
4.2	20	22	20	0	22
4.8	21	24	21	0	24
5.4	22	26	22	0	26
6	22	26	22	0	26
6.6	22	28	22	0	28
7.2	22	28	22	0	28
7.8	20	34	20	0	34
8.4	20	34	20	0	34
9	20	34	20	0	34
9.6	19	38	19	0	38
10.2	19	38	19	0	38
10.8	19	38	19	0	38
11.4	18	40	18	0	40
12	18	40	18	0	40
12.6	17	44	17	0	44
13.2	17	44	17	0	44
13.8	15	48	15	0	48
14.4	14	50	14	0	50
15	14	52	14	0	52
15.6	13	54	13	0	54
16.2	13	54	13	0	54
16.8	12	56	12	0	56
17.4	10	60	10	0	60
18	10	62	10	0	62
18.6	10	62	10	0	62
19.2	10	62	10	0	62
19.8	10	62	10	0	62
20.4	9	64	9	0	64
21	10	64	10	0	64
21.6	10	64	10	0	64
22.2	10	64	10	0	64
22.8	10	64	10	0	64
23.4	10	64	10	0	64
24	9	66	9	0	66
24.6	9	66	9	0	66
25.2	9	66	9	0	66
25.8	7	70	7	0	70
26.4	5	74	5	0	74
27	5	74	5	0	74
27.6	5	74	5	0	74
28.2	6	74	6	0	74
28.8	6	74	6	0	74
29.4	6	74	6	0	74
30	7	74	7	0	74
30.6	7	74	7	0	74
31.2	7	73	7	0	73
31.8	7	73	7	0	73
32.4	6	75	6	0	75
33	8	74	8	0	74
33.6	8	74	8	0	74
34.2	8	74	8	0	74
34.8	8	74	8	0	74
35.4	8	74	8	0	74
36	8	74	8	0	74
36.6	8	74	8	0	74
37.2	8	73	8	0	73
37.8	8	73	8	0	73
38.4	7	75	7	0	75
39	8	75	8	0	75
39.6	7	77	7	0	77
40.2	7	76	7	0	76
40.8	7	76	7	0	76
41.4	8	76	8	0	76
42	8	76	8	0	76
42.6	9	75	9	0	75
43.2	9	75	9	0	75
43.8	9	74	9	0	74
44.4	8	76	8	0	76
45	8	75	8	0	75
45.6	8	75	8	0	75
46.2	7	77	7	0	77
46.8	7	76	7	0	76
47.4	7	76	7	0	76
48	7	76	7	0	76
48.6	7	76	7	0	76
49.2	7	76	7	0	76
49.8	8	76	8	0	76
50.4	8	75	8	0	75
51	8	77	8	0	77
51.6	8	75	8	0	75
52.2	8	75	8	0	75
52.8	7	77	7	0	77
53.4	6	79	6	0	79
54	6	77	6	0	77
54.6	6	77	6	0	77
55.2	6	77	6	0	77
55.8	6	77	6	0	77
56.4	6	77	6	0	77
57	5	78	5	0	78
57.6	5	78	5	0	78
58.2	5	78	5	0	78
58.8	4	80	4	0	80
59.4	5	79	5	0	79
60	6	79	6	0	79
60.6	6	78	6	0	78
61.2	6	77	6	0	77
61.8	6	77	6	0	77
62.4	6	77	6	0	77
63	7	77	7	0	77
63.6	7	77	7	0	77
64.2	6	79	6	0	79
64.8	6	79	6	0	79
65.4	6	79	6	0	79
66	6	79	6	0	79
66.6	6	79	6	0	79
67.2	6	78	6	0	78
67.8	6	78	6	0	78
68.4	6	78	6	0	78
69	6	78	6	0	78
69.6	6	78	6	0	78
70.2	7	78	7	0	78
