Time	 Transit	Diff	WildType	Attached	RV	
0	29	1	30	0	0
0.6	30	4	30	0	4
1.2	30	4	30	0	4
1.8	30	4	30	0	4
2.4	29	6	29	0	6
3	29	8	29	0	8
3.6	28	10	28	0	10
4.2	28	10	28	0	10
4.8	27	12	27	0	12
5.4	26	14	26	0	14
6	26	14	26	0	14
6.6	27	14	27	0	14
7.2	26	18	26	0	18
7.8	25	22	25	0	22
8.4	26	22	26	0	22
9	25	26	25	0	26
9.6	24	28	24	0	28
10.2	23	32	23	0	32
10.8	21	36	21	0	36
11.4	20	38	20	0	38
12	21	40	21	0	40
12.6	19	44	19	0	44
13.2	19	44	19	0	44
13.8	19	44	19	0	44
14.4	19	44	19	0	44
15	19	44	19	0	44
15.6	19	44	19	0	44
16.2	21	44	21	0	44
16.8	21	44	21	0	44
17.4	23	44	23	0	44
18	23	44	23	0	44
18.6	22	46	22	0	46
19.2	23	46	23	0	46
19.8	23	46	23	0	46
20.4	28	46	28	0	46
21	28	48	28	0	48
21.6	30	48	30	0	48
22.2	32	48	32	0	48
22.8	31	52	31	0	52
23.4	31	52	31	0	52
24	31	51	31	0	51
24.6	31	51	31	0	51
25.2	31	51	31	0	51
25.8	31	51	31	0	51
26.4	31	51	31	0	51
27	33	51	33	0	51
27.6	33	53	35	0	51
28.2	33	53	33	0	53
28.8	33	53	33	0	53
29.4	33	55	33	0	55
30	33	55	33	0	55
30.6	33	57	33	0	57
31.2	32	59	32	0	59
31.8	32	61	32	0	61
32.4	33	63	33	0	63
33	31	67	31	0	67
33.6	28	73	28	0	73
34.2	27	75	27	0	75
34.8	27	77	27	0	77
35.4	27	76	27	0	76
36	27	76	27	0	76
36.6	26	78	26	0	78
37.2	26	78	26	0	78
37.8	28	77	28	0	77
38.4	27	79	27	0	79
39	29	79	29	0	79
39.6	29	79	29	0	79
40.2	29	79	29	0	79
40.8	29	79	29	0	79
41.4	29	83	29	0	83
42	30	82	30	0	82
42.6	30	84	30	0	84
43.2	31	84	31	0	84
43.8	30	86	30	0	86
44.4	30	86	30	0	86
45	31	85	31	0	85
45.6	31	85	31	0	85
46.2	29	89	29	0	89
46.8	28	90	28	0	90
47.4	27	92	27	0	92
48	28	91	28	0	91
48.6	28	91	28	0	91
49.2	30	90	30	0	90
49.8	30	90	30	0	90
50.4	29	91	29	0	91
51	30	92	30	0	92
51.6	32	92	32	0	92
52.2	33	91	33	0	91
52.8	33	90	33	0	90
53.4	33	89	33	0	89
54	33	91	33	0	91
54.6	32	91	32	0	91
55.2	33	90	33	0	90
55.8	33	90	33	0	90
56.4	33	92	33	0	92
57	34	91	34	0	91
57.6	34	91	34	0	91
58.2	33	92	33	0	92
58.8	32	93	32	0	93
59.4	30	96	30	0	96
60	30	96	30	0	96
60.6	31	94	31	0	94
61.2	31	94	31	0	94
61.8	33	94	33	0	94
62.4	34	95	34	0	95
63	35	95	35	0	95
63.6	35	96	35	0	96
64.2	35	96	35	0	96
64.8	37	95	37	0	95
65.4	35	101	35	0	101
66	35	101	35	0	101
66.6	35	101	35	0	101
67.2	35	101	35	0	101
67.8	36	101	36	0	101
68.4	35	103	35	0	103
69	33	107	33	0	107
69.6	33	107	33	0	107
70.2	35	106	35	0	106
70.8	38	105	38	0	105
71.4	38	105	38	0	105
72	37	107	37	0	107
72.6	36	109	36	0	109
73.2	35	112	35	0	112
73.8	38	112	38	0	112
74.4	38	111	38	0	111
75	39	111	39	0	111
75.6	39	113	39	0	113
76.2	39	112	39	0	112
76.8	39	112	39	0	112
77.4	38	114	38	0	114
78	37	116	37	0	116
78.6	36	116	36	0	116
79.2	36	117	36	0	117
79.8	37	118	37	0	118
80.4	37	118	37	0	118
81	36	120	36	0	120
81.6	35	122	35	0	122
82.2	35	121	35	0	121
82.8	35	120	35	0	120
83.4	34	122	34	0	122
84	34	124	34	0	124
84.6	33	125	33	0	125
85.2	34	126	34	0	126
85.8	34	128	34	0	128
86.4	35	127	35	0	127
87	34	129	34	0	129
87.6	34	127	34	0	127
88.2	34	127	34	0	127
88.8	33	128	33	0	128
89.4	33	128	33	0	128
90	33	127	33	0	127
90.6	33	129	33	0	129
91.2	33	127	33	0	127
91.8	33	127	33	0	127
92.4	35	127	35	0	127
93	36	127	36	0	127
93.6	36	127	36	0	127
94.2	36	127	36	0	127
94.8	33	132	33	0	132
95.4	34	132	34	0	132
96	34	134	34	0	134
96.6	34	136	34	0	136
97.2	34	136	34	0	136
97.8	35	134	35	0	134
98.4	36	134	36	0	134
99	38	133	38	0	133
99.6	38	133	38	0	133
100.2	40	134	40	0	134
100.8	41	133	41	0	133
101.4	42	132	42	0	132
102	42	131	42	0	131
102.6	42	130	42	0	130
103.2	43	129	43	0	129
103.8	44	128	44	0	128
104.4	43	129	43	0	129
105	42	131	42	0	131
105.6	41	131	41	0	131
106.2	42	133	42	0	133
106.8	41	135	41	0	135
107.4	42	137	42	0	137
108	41	139	41	0	139
108.6	41	139	41	0	139
109.2	41	138	41	0	138
109.8	41	139	41	0	139
110.4	40	141	40	0	141
111	41	140	41	0	140
111.6	41	139	41	0	139
112.2	41	139	41	0	139
112.8	39	143	39	0	143
113.4	39	143	39	0	143
114	38	145	38	0	145
114.6	38	147	38	0	147
115.2	39	146	39	0	146
115.8	40	145	40	0	145
116.4	40	145	40	0	145
117	41	144	41	0	144
117.6	40	148	40	0	148
118.2	41	148	41	0	148
118.8	41	148	41	0	148
119.4	41	148	41	0	148
120	43	147	43	0	147
120.6	43	147	43	0	147
121.2	42	149	42	0	149
121.8	43	148	43	0	148
122.4	42	150	42	0	150
123	42	150	42	0	150
123.6	43	149	43	0	149
124.2	44	149	44	0	149
124.8	44	149	44	0	149
125.4	44	149	44	0	149
126	45	148	45	0	148
126.6	44	148	44	0	148
127.2	45	147	45	0	147
127.8	46	149	46	0	149
128.4	46	149	46	0	149
129	46	149	46	0	149
129.6	47	151	47	0	151
130.2	48	151	48	0	151
130.8	48	151	48	0	151
131.4	49	150	49	0	150
132	48	152	48	0	152
132.6	48	152	48	0	152
133.2	48	151	48	0	151
133.8	48	151	48	0	151
134.4	49	151	49	0	151
135	49	150	49	0	150
135.6	49	149	49	0	149
136.2	50	150	50	0	150
136.8	50	150	50	0	150
137.4	48	153	48	0	153
138	47	156	47	0	156
138.6	48	155	48	0	155
139.2	48	154	48	0	154
139.8	48	156	48	0	156
140.4	48	158	48	0	158
141	49	157	49	0	157
141.6	48	159	48	0	159
142.2	47	160	47	0	160
142.8	47	159	47	0	159
143.4	47	161	47	0	161
144	47	161	47	0	161
144.6	45	162	45	0	162
145.2	43	166	43	0	166
145.8	43	166	43	0	166
146.4	43	164	43	0	164
147	45	164	45	0	164
147.6	46	166	46	0	166
148.2	46	165	46	0	165
148.8	45	169	45	0	169
149.4	45	168	45	0	168
150	45	166	45	0	166
150.6	46	166	46	0	166
151.2	46	166	46	0	166
151.8	45	167	45	0	167
