Time	 Transit	Diff	WildType	Attached	RV	
0	29	1	30	0	0
0.6	30	2	30	0	2
1.2	31	4	31	0	4
1.8	30	6	30	0	6
2.4	31	8	31	0	8
3	32	8	32	0	8
3.6	33	8	33	0	8
4.2	32	12	32	0	12
4.8	31	14	31	0	14
5.4	31	14	31	0	14
6	30	16	30	0	16
6.6	30	16	30	0	16
7.2	31	18	31	0	18
7.8	31	20	31	0	20
8.4	29	24	29	0	24
9	29	24	29	0	24
9.6	28	26	28	0	26
10.2	28	28	28	0	28
10.8	30	28	30	0	28
11.4	29	32	31	0	30
12	27	36	27	0	36
12.6	25	40	25	0	40
13.2	27	40	27	0	40
13.8	25	44	25	0	44
14.4	26	46	26	0	46
15	27	46	27	0	46
15.6	27	46	27	0	46
16.2	26	48	26	0	48
16.8	26	48	26	0	48
17.4	26	48	26	0	48
18	25	52	25	0	52
18.6	27	52	27	0	52
19.2	28	52	28	0	52
19.8	28	52	28	0	52
20.4	27	54	27	0	54
21	26	56	26	0	56
21.6	26	58	26	0	58
22.2	25	60	25	0	60
22.8	25	60	25	0	60
23.4	25	60	25	0	60
24	25	60	25	0	60
24.6	26	60	26	0	60
25.2	24	64	24	0	64
25.8	23	68	23	0	68
26.4	23	68	23	0	68
27	23	68	23	0	68
27.6	22	70	22	0	70
28.2	21	73	21	0	73
28.8	22	73	22	0	73
29.4	22	73	22	0	73
30	22	72	22	0	72
30.6	21	74	21	0	74
31.2	21	74	21	0	74
31.8	23	74	23	0	74
32.4	24	76	24	0	76
33	24	76	24	0	76
33.6	25	76	25	0	76
34.2	26	76	26	0	76
34.8	26	78	26	0	78
35.4	26	77	26	0	77
36	25	79	25	0	79
36.6	26	79	26	0	79
37.2	26	78	26	0	78
37.8	27	78	27	0	78
38.4	28	78	28	0	78
39	28	78	28	0	78
39.6	27	80	27	0	80
40.2	28	80	28	0	80
40.8	27	82	27	0	82
41.4	28	82	28	0	82
42	27	84	27	0	84
42.6	27	84	27	0	84
43.2	28	84	28	0	84
43.8	28	88	28	0	88
44.4	27	90	27	0	90
45	27	91	27	0	91
45.6	27	91	27	0	91
46.2	27	91	27	0	91
46.8	28	89	28	0	89
47.4	27	91	27	0	91
48	27	91	27	0	91
48.6	27	90	27	0	90
49.2	27	90	27	0	90
49.8	27	89	27	0	89
50.4	26	91	26	0	91
51	24	95	24	0	95
51.6	23	96	23	0	96
52.2	22	97	22	0	97
52.8	21	99	21	0	99
53.4	20	101	20	0	101
54	21	101	21	0	101
54.6	21	101	21	0	101
55.2	20	103	20	0	103
55.8	20	103	20	0	103
56.4	20	101	20	0	101
57	20	103	20	0	103
57.6	20	102	20	0	102
58.2	19	104	19	0	104
58.8	18	106	18	0	106
59.4	18	105	18	0	105
60	18	105	18	0	105
60.6	19	104	19	0	104
61.2	19	103	19	0	103
61.8	19	103	19	0	103
62.4	18	104	18	0	104
63	17	106	17	0	106
63.6	17	106	17	0	106
64.2	17	108	17	0	108
64.8	17	107	17	0	107
65.4	17	107	17	0	107
66	18	105	18	0	105
66.6	17	107	17	0	107
67.2	17	106	17	0	106
67.8	18	106	18	0	106
68.4	17	108	17	0	108
69	17	108	17	0	108
69.6	18	108	18	0	108
70.2	17	109	17	0	109
70.8	17	109	17	0	109
71.4	18	108	18	0	108
72	18	107	18	0	107
72.6	19	106	19	0	106
73.2	20	106	20	0	106
73.8	20	104	20	0	104
74.4	20	104	20	0	104
75	20	104	20	0	104
75.6	19	106	19	0	106
76.2	19	106	19	0	106
76.8	19	104	19	0	104
77.4	19	104	19	0	104
78	19	104	19	0	104
78.6	19	103	19	0	103
79.2	19	102	19	0	102
79.8	22	102	22	0	102
80.4	22	104	22	0	104
81	22	105	22	0	105
81.6	22	105	22	0	105
82.2	23	105	23	0	105
82.8	24	104	24	0	104
83.4	24	106	24	0	106
84	25	104	25	0	104
84.6	25	104	25	0	104
85.2	25	104	25	0	104
85.8	24	105	24	0	105
86.4	24	105	24	0	105
87	24	105	24	0	105
87.6	24	104	24	0	104
88.2	25	103	25	0	103
88.8	24	104	24	0	104
89.4	24	105	24	0	105
90	24	105	24	0	105
90.6	24	105	24	0	105
91.2	24	105	24	0	105
91.8	24	105	24	0	105
92.4	25	104	25	0	104
93	26	102	26	0	102
93.6	26	104	26	0	104
94.2	26	103	26	0	103
94.8	25	104	25	0	104
95.4	25	103	25	0	103
96	25	101	25	0	101
96.6	26	103	26	0	103
97.2	28	103	28	0	103
97.8	28	101	28	0	101
98.4	28	100	28	0	100
99	28	99	28	0	99
99.6	29	101	29	0	101
100.2	31	101	31	0	101
100.8	29	105	29	0	105
101.4	28	107	28	0	107
102	29	106	29	0	106
102.6	29	105	29	0	105
103.2	27	109	27	0	109
103.8	28	108	28	0	108
104.4	30	108	30	0	108
105	31	107	31	0	107
105.6	30	109	30	0	109
106.2	31	109	31	0	109
106.8	31	108	31	0	108
107.4	31	108	31	0	108
108	30	109	30	0	109
108.6	32	109	32	0	109
109.2	32	111	32	0	111
109.8	31	111	31	0	111
110.4	31	111	31	0	111
111	31	111	31	0	111
111.6	31	110	31	0	110
112.2	32	109	32	0	109
112.8	33	109	33	0	109
113.4	33	109	33	0	109
114	32	110	32	0	110
114.6	34	109	34	0	109
115.2	35	109	35	0	109
115.8	35	109	35	0	109
116.4	34	113	34	0	113
117	34	113	34	0	113
117.6	35	113	35	0	113
118.2	35	112	35	0	112
118.8	34	114	34	0	114
119.4	35	113	35	0	113
120	35	112	35	0	112
120.6	36	112	36	0	112
121.2	36	111	36	0	111
121.8	37	110	37	0	110
122.4	37	113	37	0	113
123	36	114	36	0	114
123.6	36	114	36	0	114
124.2	36	113	36	0	113
124.8	37	113	37	0	113
125.4	39	111	39	0	111
126	39	110	39	0	110
126.6	39	109	39	0	109
127.2	40	106	40	0	106
127.8	40	105	40	0	105
128.4	38	108	38	0	108
129	38	108	38	0	108
129.6	36	110	36	0	110
130.2	37	110	37	0	110
130.8	37	111	37	0	111
131.4	38	111	38	0	111
132	39	111	39	0	111
132.6	40	111	40	0	111
133.2	40	111	40	0	111
133.8	40	110	40	0	110
134.4	41	110	41	0	110
135	39	113	39	0	113
135.6	39	112	39	0	112
136.2	40	112	40	0	112
136.8	40	112	40	0	112
137.4	40	111	40	0	111
138	39	113	39	0	113
138.6	38	117	38	0	117
139.2	37	119	37	0	119
139.8	37	119	37	0	119
140.4	38	120	38	0	120
141	38	120	38	0	120
141.6	37	122	37	0	122
142.2	36	123	36	0	123
142.8	36	122	36	0	122
143.4	37	120	37	0	120
144	35	123	35	0	123
144.6	36	124	36	0	124
145.2	37	124	37	0	124
145.8	36	126	36	0	126
146.4	36	123	36	0	123
147	34	126	34	0	126
147.6	34	126	34	0	126
148.2	34	129	34	0	129
148.8	34	128	34	0	128
149.4	35	127	35	0	127
150	35	126	35	0	126
150.6	34	127	34	0	127
151.2	34	126	34	0	126
151.8	37	126	37	0	126
152.4	35	130	35	0	130
153	36	129	36	0	129
153.6	37	128	37	0	128
154.2	37	127	37	0	127
154.8	35	130	35	0	130
155.4	34	131	34	0	131
156	36	130	36	0	130
156.6	36	129	36	0	129
157.2	36	128	36	0	128
157.8	36	130	36	0	130
158.4	35	132	35	0	132
159	34	131	34	0	131
159.6	33	132	33	0	132
160.2	32	134	32	0	134
160.8	32	134	32	0	134
161.4	32	135	32	0	135
162	33	135	33	0	135
162.6	34	135	34	0	135
163.2	34	136	34	0	136
163.8	35	138	35	0	138
164.4	35	138	35	0	138
165	36	138	36	0	138
165.6	37	138	37	0	138
166.2	40	138	40	0	138
166.8	40	140	40	0	140
167.4	40	139	40	0	139
168	41	137	41	0	137
168.6	40	138	40	0	138
169.2	40	137	40	0	137
169.8	41	135	41	0	135
170.4	41	134	41	0	134
171	41	135	41	0	135
171.6	40	136	40	0	136
172.2	40	135	40	0	135
172.8	39	137	39	0	137
173.4	40	137	40	0	137
174	40	137	40	0	137
174.6	39	138	39	0	138
175.2	39	138	39	0	138
175.8	39	137	39	0	137
176.4	40	137	40	0	137
177	39	139	39	0	139
177.6	39	139	39	0	139
178.2	38	143	38	0	143
178.8	38	143	38	0	143
179.4	38	144	38	0	144
180	38	148	38	0	148
180.6	37	147	37	0	147
181.2	37	147	37	0	147
181.8	37	147	37	0	147
182.4	36	149	36	0	149
183	36	153	36	0	153
183.6	36	153	36	0	153
184.2	36	153	36	0	153
184.8	36	152	36	0	152
185.4	35	154	35	0	154
186	35	154	35	0	154
186.6	36	154	36	0	154
187.2	35	155	35	0	155
187.8	34	156	34	0	156
188.4	34	158	34	0	158
189	33	160	33	0	160
189.6	33	160	33	0	160
190.2	32	161	32	0	161
190.8	31	162	31	0	162
191.4	31	162	31	0	162
192	32	160	32	0	160
192.6	31	162	31	0	162
193.2	31	161	31	0	161
193.8	30	163	30	0	163
194.4	30	163	30	0	163
195	29	164	29	0	164
195.6	29	163	29	0	163
196.2	30	163	30	0	163
196.8	32	162	32	0	162
197.4	32	160	32	0	160
198	33	160	33	0	160
198.6	33	160	33	0	160
199.2	34	159	34	0	159
199.8	34	159	34	0	159
200.4	34	159	34	0	159
201	34	158	34	0	158
201.6	34	157	34	0	157
202.2	34	157	34	0	157
202.8	34	157	34	0	157
203.4	32	161	32	0	161
204	32	161	32	0	161
204.6	32	161	32	0	161
205.2	32	160	32	0	160
205.8	33	162	33	0	162
206.4	32	163	32	0	163
207	33	162	33	0	162
207.6	33	160	33	0	160
208.2	35	160	35	0	160
208.8	36	160	36	0	160
209.4	36	160	36	0	160
210	36	160	36	0	160
210.6	36	159	36	0	159
211.2	36	159	36	0	159
211.8	35	161	35	0	161
212.4	36	161	36	0	161
213	35	163	35	0	163
213.6	35	162	35	0	162
214.2	35	160	35	0	160
214.8	34	161	34	0	161
215.4	36	161	36	0	161
216	36	161	36	0	161
216.6	36	160	36	0	160
217.2	35	163	35	0	163
217.8	35	165	35	0	165
218.4	36	165	36	0	165
219	36	165	36	0	165
219.6	38	164	38	0	164
220.2	38	166	38	0	166
220.8	37	168	37	0	168
221.4	37	168	37	0	168
222	36	170	36	0	170
222.6	35	171	35	0	171
223.2	36	170	36	0	170
223.8	36	170	36	0	170
224.4	36	169	36	0	169
225	36	169	36	0	169
225.6	37	168	37	0	168
226.2	38	168	38	0	168
226.8	38	168	38	0	168
227.4	38	169	38	0	169
228	37	170	37	0	170
