Time	 Transit	Diff	WildType	Attached	RV	
0	29	1	30	0	0
0.6	31	2	31	0	2
1.2	31	2	31	0	2
1.8	32	2	32	0	2
2.4	32	2	32	0	2
3	33	2	33	0	2
3.6	33	4	33	0	4
4.2	35	4	35	0	4
4.8	33	8	33	0	8
5.4	35	8	35	0	8
6	33	14	35	0	12
6.6	36	14	36	0	14
7.2	37	14	37	0	14
7.8	36	16	36	0	16
8.4	39	16	39	0	16
9	40	16	40	0	16
9.6	40	16	40	0	16
10.2	41	16	41	0	16
10.8	42	16	42	0	16
11.4	41	18	41	0	18
12	42	18	42	0	18
12.6	43	18	43	0	18
13.2	46	18	46	0	18
13.8	47	20	47	0	20
14.4	47	22	47	0	22
15	48	22	48	0	22
15.6	46	26	46	0	26
16.2	47	26	47	0	26
16.8	49	26	49	0	26
17.4	47	30	47	0	30
18	46	34	46	0	34
18.6	43	40	43	0	40
19.2	43	42	43	0	42
19.8	44	42	44	0	42
20.4	46	42	46	0	42
21	47	42	47	0	42
21.6	48	42	48	0	42
22.2	49	42	49	0	42
22.8	47	46	47	0	46
23.4	47	50	47	0	50
24	45	54	45	0	54
24.6	44	56	44	0	56
25.2	46	56	46	0	56
25.8	46	58	46	0	58
26.4	46	62	46	0	62
27	44	66	44	0	66
27.6	44	66	44	0	66
28.2	42	69	42	0	69
28.8	41	73	41	0	73
29.4	42	73	42	0	73
30	44	73	44	0	73
30.6	44	75	44	0	75
31.2	44	75	44	0	75
31.8	43	77	43	0	77
32.4	43	77	43	0	77
33	42	78	42	0	78
33.6	41	83	41	0	83
34.2	40	85	40	0	85
34.8	40	89	40	0	89
35.4	41	91	41	0	91
36	40	91	40	0	91
36.6	41	93	41	0	93
37.2	40	95	40	0	95
37.8	40	94	40	0	94
38.4	39	96	39	0	96
39	40	94	40	0	94
39.6	40	93	40	0	93
40.2	39	95	39	0	95
40.8	41	97	41	0	97
41.4	41	96	41	0	96
42	41	100	41	0	100
42.6	41	100	41	0	100
43.2	40	101	40	0	101
43.8	39	101	39	0	101
44.4	39	103	39	0	103
45	39	102	39	0	102
45.6	39	102	39	0	102
46.2	39	102	39	0	102
46.8	40	102	40	0	102
47.4	38	108	38	0	108
48	38	108	38	0	108
48.6	40	107	40	0	107
49.2	42	106	42	0	106
49.8	42	106	42	0	106
50.4	41	108	41	0	108
51	40	110	40	0	110
51.6	39	112	39	0	112
52.2	38	114	38	0	114
52.8	40	114	40	0	114
53.4	39	115	39	0	115
54	39	117	39	0	117
54.6	39	117	39	0	117
55.2	39	119	39	0	119
55.8	41	119	41	0	119
56.4	42	119	42	0	119
57	42	119	42	0	119
57.6	43	119	43	0	119
58.2	45	119	45	0	119
58.8	47	119	47	0	119
59.4	48	119	48	0	119
60	48	120	48	0	120
60.6	47	121	47	0	121
61.2	47	121	47	0	121
61.8	47	123	47	0	123
62.4	46	125	46	0	125
63	46	125	46	0	125
63.6	45	127	45	0	127
64.2	46	126	46	0	126
64.8	46	128	46	0	128
65.4	46	127	46	0	127
66	49	126	49	0	126
66.6	50	125	50	0	125
67.2	51	127	51	0	127
67.8	53	127	53	0	127
68.4	53	127	53	0	127
69	54	127	54	0	127
69.6	54	126	54	0	126
70.2	54	126	54	0	126
70.8	55	125	55	0	125
71.4	57	125	57	0	125
72	57	125	57	0	125
72.6	57	124	57	0	124
73.2	56	126	56	0	126
73.8	56	128	56	0	128
74.4	55	130	55	0	130
75	53	134	53	0	134
75.6	52	137	52	0	137
76.2	51	138	51	0	138
76.8	50	139	50	0	139
77.4	49	141	49	0	141
78	47	145	47	0	145
78.6	46	147	46	0	147
79.2	45	148	45	0	148
79.8	45	146	45	0	146
80.4	43	150	43	0	150
81	46	148	46	0	148
81.6	48	146	48	0	146
82.2	49	148	49	0	148
82.8	49	147	49	0	147
83.4	50	147	50	0	147
84	50	149	50	0	149
84.6	51	149	51	0	149
85.2	51	147	51	0	147
85.8	50	148	50	0	148
86.4	50	148	50	0	148
87	49	150	49	0	150
87.6	46	156	46	0	156
88.2	47	155	47	0	155
88.8	48	154	48	0	154
89.4	50	152	50	0	152
90	50	152	50	0	152
90.6	50	152	50	0	152
91.2	50	151	50	0	151
91.8	48	154	48	0	154
92.4	48	152	48	0	152
93	49	152	49	0	152
93.6	49	150	49	0	150
94.2	49	150	49	0	150
94.8	47	152	47	0	152
95.4	48	152	48	0	152
96	47	152	47	0	152
96.6	47	154	47	0	154
97.2	48	154	48	0	154
