Time	 Transit	Diff	WildType	Attached	RV	
0	28	2	30	0	0
0.6	28	4	28	0	4
1.2	29	4	29	0	4
1.8	29	6	29	0	6
2.4	28	8	28	0	8
3	28	8	28	0	8
3.6	28	10	28	0	10
4.2	28	14	28	0	14
4.8	28	14	28	0	14
5.4	28	14	28	0	14
6	30	14	30	0	14
6.6	30	16	30	0	16
7.2	31	18	31	0	18
7.8	31	22	31	0	22
8.4	31	24	31	0	24
9	32	24	32	0	24
9.6	32	24	32	0	24
10.2	30	28	30	0	28
10.8	29	30	29	0	30
11.4	30	30	30	0	30
12	29	32	29	0	32
12.6	29	32	29	0	32
13.2	30	32	30	0	32
13.8	31	32	31	0	32
14.4	29	36	29	0	36
15	33	36	33	0	36
15.6	33	36	33	0	36
16.2	34	36	34	0	36
16.8	34	36	34	0	36
17.4	35	36	35	0	36
18	36	38	36	0	38
18.6	37	38	37	0	38
19.2	37	38	37	0	38
19.8	39	38	39	0	38
20.4	41	38	41	0	38
21	42	38	42	0	38
21.6	43	37	43	0	37
22.2	45	37	45	0	37
22.8	45	39	45	0	39
23.4	46	38	46	0	38
24	46	37	46	0	37
24.6	47	37	47	0	37
25.2	48	37	48	0	37
25.8	48	39	48	0	39
26.4	47	41	47	0	41
27	50	41	50	0	41
27.6	50	41	50	0	41
28.2	48	45	48	0	45
28.8	48	47	48	0	47
29.4	47	49	47	0	49
30	48	48	48	0	48
30.6	50	50	50	0	50
31.2	50	50	50	0	50
31.8	51	50	51	0	50
32.4	53	50	53	0	50
33	54	50	54	0	50
33.6	54	50	54	0	50
34.2	57	50	57	0	50
34.8	58	50	58	0	50
35.4	60	50	60	0	50
36	60	49	60	0	49
36.6	58	53	58	0	53
37.2	59	53	59	0	53
37.8	60	51	60	0	51
38.4	60	55	60	0	55
39	60	55	60	0	55
39.6	61	57	61	0	57
40.2	61	57	61	0	57
40.8	60	58	60	0	58
41.4	60	57	60	0	57
42	59	59	59	0	59
42.6	59	59	59	0	59
43.2	63	59	63	0	59
43.8	64	61	64	0	61
44.4	65	62	65	0	62
45	64	63	64	0	63
45.6	66	63	66	0	63
46.2	64	66	64	0	66
46.8	65	66	65	0	66
47.4	68	66	68	0	66
48	69	68	69	0	68
48.6	71	67	71	0	67
49.2	71	67	71	0	67
49.8	70	68	70	0	68
50.4	72	68	72	0	68
51	71	68	71	0	68
51.6	70	70	70	0	70
52.2	71	69	71	0	69
52.8	70	71	70	0	71
53.4	69	73	69	0	73
54	69	73	69	0	73
54.6	71	73	71	0	73
55.2	72	75	72	0	75
55.8	73	74	73	0	74
56.4	73	75	73	0	75
57	75	73	75	0	73
57.6	74	77	74	0	77
58.2	76	77	76	0	77
58.8	76	77	76	0	77
59.4	76	76	76	0	76
60	77	78	77	0	78
60.6	77	78	77	0	78
61.2	77	79	77	0	79
61.8	77	81	77	0	81
62.4	78	81	78	0	81
63	79	80	79	0	80
63.6	80	81	80	0	81
64.2	80	80	80	0	80
64.8	80	80	80	0	80
65.4	81	79	81	0	79
66	80	80	80	0	80
66.6	80	82	80	0	82
67.2	81	82	81	0	82
67.8	81	84	81	0	84
68.4	82	84	82	0	84
69	83	83	83	0	83
69.6	85	85	85	0	85
70.2	86	86	86	0	86
70.8	85	86	85	0	86
71.4	86	87	86	0	87
72	86	89	86	0	89
72.6	85	90	85	0	90
73.2	86	90	86	0	90
73.8	86	91	86	0	91
74.4	87	92	87	0	92
75	89	92	89	0	92
75.6	89	93	89	0	93
76.2	91	92	91	0	92
76.8	92	91	92	0	91
77.4	93	90	93	0	90
78	93	90	93	0	90
78.6	93	90	93	0	90
79.2	93	89	93	0	89
79.8	94	91	94	0	91
80.4	92	95	92	0	95
81	92	96	92	0	96
81.6	91	97	91	0	97
82.2	90	98	90	0	98
82.8	91	98	91	0	98
83.4	90	99	90	0	99
84	90	98	90	0	98
84.6	92	98	92	0	98
85.2	93	97	93	0	97
85.8	95	97	95	0	97
86.4	94	101	94	0	101
87	95	98	95	0	98
87.6	95	97	95	0	97
88.2	96	96	96	0	96
88.8	96	95	96	0	95
89.4	96	94	96	0	94
90	96	95	96	0	95
90.6	96	93	96	0	93
91.2	97	93	97	0	93
91.8	97	91	97	0	91
92.4	98	90	98	0	90
93	100	89	100	0	89
93.6	102	88	102	0	88
94.2	102	91	102	0	91
94.8	101	95	101	0	95
95.4	101	94	101	0	94
96	100	95	100	0	95
96.6	102	94	102	0	94
