Time	 Transit	Diff	WildType	Attached	RV	
0	29	1	30	0	0
0.6	31	2	31	0	2
1.2	29	6	29	0	6
1.8	28	8	28	0	8
2.4	26	12	26	0	12
3	27	14	27	0	14
3.6	26	16	26	0	16
4.2	26	18	26	0	18
4.8	25	20	25	0	20
5.4	26	22	26	0	22
6	28	22	28	0	22
6.6	27	24	27	0	24
7.2	26	26	26	0	26
7.8	27	26	27	0	26
8.4	27	28	27	0	28
9	28	28	28	0	28
9.6	27	30	27	0	30
10.2	25	34	25	0	34
10.8	26	34	26	0	34
11.4	25	36	25	0	36
12	26	36	26	0	36
12.6	27	38	27	0	38
13.2	28	38	28	0	38
13.8	27	40	27	0	40
14.4	29	40	29	0	40
15	29	40	29	0	40
15.6	30	40	30	0	40
16.2	29	42	29	0	42
16.8	29	42	29	0	42
17.4	30	44	30	0	44
18	32	44	32	0	44
18.6	31	46	31	0	46
19.2	30	48	30	0	48
19.8	31	50	31	0	50
20.4	31	50	31	0	50
21	31	50	31	0	50
21.6	31	52	31	0	52
22.2	34	52	34	0	52
22.8	34	52	34	0	52
23.4	34	54	34	0	54
24	33	56	33	0	56
24.6	34	56	34	0	56
25.2	36	55	36	0	55
25.8	36	55	36	0	55
26.4	36	55	36	0	55
27	36	55	36	0	55
27.6	34	61	34	0	61
28.2	34	62	34	0	62
28.8	36	62	36	0	62
29.4	35	65	35	0	65
30	36	64	36	0	64
30.6	36	66	36	0	66
31.2	37	66	37	0	66
31.8	35	69	35	0	69
32.4	35	69	35	0	69
33	36	68	36	0	68
33.6	36	70	38	0	68
34.2	37	70	37	0	70
34.8	37	70	37	0	70
35.4	36	72	36	0	72
36	36	74	36	0	74
36.6	36	76	36	0	76
37.2	38	76	38	0	76
37.8	39	76	39	0	76
38.4	40	76	40	0	76
39	40	78	40	0	78
39.6	41	78	41	0	78
40.2	39	82	39	0	82
40.8	38	84	38	0	84
41.4	37	88	37	0	88
42	38	88	38	0	88
42.6	36	91	36	0	91
43.2	37	91	37	0	91
43.8	36	93	36	0	93
44.4	36	93	36	0	93
45	38	93	38	0	93
45.6	39	95	39	0	95
46.2	39	94	39	0	94
46.8	40	94	40	0	94
47.4	40	96	40	0	96
48	39	97	39	0	97
48.6	41	96	41	0	96
49.2	41	96	41	0	96
49.8	42	95	42	0	95
50.4	41	97	41	0	97
51	41	97	41	0	97
51.6	40	100	40	0	100
52.2	39	104	39	0	104
52.8	39	104	39	0	104
53.4	39	105	39	0	105
54	40	105	40	0	105
54.6	40	105	40	0	105
55.2	41	105	41	0	105
55.8	40	107	40	0	107
56.4	41	106	41	0	106
57	40	108	40	0	108
57.6	42	109	42	0	109
58.2	42	110	42	0	110
58.8	41	112	41	0	112
59.4	40	112	40	0	112
60	39	114	39	0	114
60.6	40	113	40	0	113
61.2	40	112	40	0	112
61.8	39	114	39	0	114
62.4	39	116	39	0	116
63	40	116	40	0	116
63.6	38	120	38	0	120
64.2	39	118	39	0	118
64.8	40	118	40	0	118
65.4	42	117	42	0	117
66	42	116	42	0	116
66.6	43	115	43	0	115
67.2	42	115	42	0	115
67.8	41	117	41	0	117
68.4	40	119	40	0	119
69	40	118	40	0	118
69.6	44	118	44	0	118
70.2	44	122	44	0	122
70.8	44	123	44	0	123
71.4	44	122	44	0	122
72	44	122	44	0	122
72.6	44	122	44	0	122
73.2	43	126	43	0	126
73.8	44	125	44	0	125
74.4	40	133	40	0	133
75	39	135	39	0	135
75.6	40	135	40	0	135
76.2	39	137	39	0	137
76.8	39	138	39	0	138
77.4	38	139	38	0	139
78	39	137	39	0	137
78.6	39	137	39	0	137
79.2	37	140	37	0	140
79.8	36	142	38	0	140
80.4	36	144	36	0	144
81	37	143	37	0	143
81.6	38	142	38	0	142
82.2	38	141	38	0	141
82.8	39	142	39	0	142
83.4	40	144	40	0	144
84	40	144	40	0	144
84.6	38	147	38	0	147
85.2	38	148	40	0	146
85.8	38	147	38	0	147
86.4	38	146	38	0	146
87	38	145	38	0	145
87.6	38	147	38	0	147
88.2	38	147	38	0	147
88.8	37	149	37	0	149
89.4	36	150	36	0	150
90	37	149	37	0	149
90.6	36	151	36	0	151
91.2	36	150	36	0	150
91.8	36	152	36	0	152
92.4	36	151	36	0	151
93	36	153	36	0	153
93.6	36	153	36	0	153
94.2	36	151	36	0	151
94.8	35	154	35	0	154
95.4	35	154	35	0	154
96	34	156	34	0	156
96.6	34	156	34	0	156
97.2	34	156	34	0	156
